species,natsub,b1,b2,b3
AL,0,2.0633,0.6432,-0.0275
AL,1,2.0633,0.6432,-0.0275
AL,2,2.0633,0.6432,-0.0275
AL,3,2.0633,0.6432,-0.0275
AL,4,2.0633,0.6432,-0.0275
AL,5,2.0633,0.6432,-0.0275
AL,6,2.0633,0.6432,-0.0275
AL,7,2.0633,0.6432,-0.0275
AL,8,2.0633,0.6432,-0.0275
AL,9,2.0633,0.6432,-0.0275
AL,10,2.0633,0.6432,-0.0275
AL,11,2.0633,0.6432,-0.0275
AL,12,2.0633,0.6432,-0.0275
AL,13,2.0633,0.6432,-0.0275
AL,14,2.0633,0.6432,-0.0275
AL,15,2.0633,0.6432,-0.0275
AL,16,2.0633,0.6432,-0.0275
AL,17,2.0633,0.6432,-0.0275
AL,18,2.0633,0.6432,-0.0275
AL,19,2.0633,0.6432,-0.0275
AL,20,2.0633,0.6432,-0.0275
AL,21,2.0633,0.6432,-0.0275
AW,0,1.1091,0.8055,-0.0332
AW,1,1.1561,0.7411,-0.0388
AW,2,1.1561,0.7411,-0.0388
AW,3,1.1561,0.7411,-0.0388
AW,4,1.1561,0.7411,-0.0388
AW,5,1.1561,0.7411,-0.0388
AW,6,1.1561,0.7411,-0.0388
AW,7,2.0809,0.7864,-0.0105
AW,8,2.0809,0.7864,-0.0105
AW,9,2.0809,0.7864,-0.0105
AW,10,2.0809,0.7864,-0.0105
AW,11,0.9855,0.8996,-0.0264
AW,12,1.1561,0.7411,-0.0388
AW,13,1.1561,0.7411,-0.0388
AW,14,1.1561,0.7411,-0.0388
AW,15,1.1561,0.7411,-0.0388
AW,16,1.1561,0.7411,-0.0388
AW,17,1.1561,0.7411,-0.0388
AW,18,1.1561,0.7411,-0.0388
AW,19,1.1561,0.7411,-0.0388
AW,20,1.1561,0.7411,-0.0388
AW,21,1.1561,0.7411,-0.0388
BW,0,1.3072,0.6892,-0.0417
BW,1,1.3072,0.6892,-0.0417
BW,2,1.3072,0.6892,-0.0417
BW,3,1.3072,0.6892,-0.0417
BW,4,1.3072,0.6892,-0.0417
BW,5,1.3072,0.6892,-0.0417
BW,6,1.3072,0.6892,-0.0417
BW,7,1.3072,0.6892,-0.0417
BW,8,1.3072,0.6892,-0.0417
BW,9,1.3072,0.6892,-0.0417
BW,10,1.3072,0.6892,-0.0417
BW,11,1.3072,0.6892,-0.0417
BW,12,1.3072,0.6892,-0.0417
BW,13,1.3072,0.6892,-0.0417
BW,14,1.3072,0.6892,-0.0417
BW,15,1.3072,0.6892,-0.0417
BW,16,1.3072,0.6892,-0.0417
BW,17,1.3072,0.6892,-0.0417
BW,18,1.3072,0.6892,-0.0417
BW,19,1.3072,0.6892,-0.0417
BW,20,1.3072,0.6892,-0.0417
BW,21,1.3072,0.6892,-0.0417
CO,0,2.238,0.6192,-0.0269
CO,1,2.238,0.6192,-0.0269
CO,2,2.238,0.6192,-0.0269
CO,3,2.238,0.6192,-0.0269
CO,4,2.238,0.6192,-0.0269
CO,5,2.238,0.6192,-0.0269
CO,6,2.238,0.6192,-0.0269
CO,7,2.238,0.6192,-0.0269
CO,8,2.238,0.6192,-0.0269
CO,9,2.238,0.6192,-0.0269
CO,10,2.238,0.6192,-0.0269
CO,11,2.238,0.6192,-0.0269
CO,12,2.238,0.6192,-0.0269
CO,13,2.238,0.6192,-0.0269
CO,14,2.238,0.6192,-0.0269
CO,15,2.238,0.6192,-0.0269
CO,16,2.238,0.6192,-0.0269
CO,17,2.238,0.6192,-0.0269
CO,18,2.238,0.6192,-0.0269
CO,19,2.238,0.6192,-0.0269
CO,20,2.238,0.6192,-0.0269
CO,21,2.238,0.6192,-0.0269
DE,0,1.2528,0.7604,-0.0346
DE,1,1.2528,0.7604,-0.0346
DE,2,1.2528,0.7604,-0.0346
DE,3,1.2528,0.7604,-0.0346
DE,4,1.2528,0.7604,-0.0346
DE,5,1.2528,0.7604,-0.0346
DE,6,1.2528,0.7604,-0.0346
DE,7,1.2528,0.7604,-0.0346
DE,8,1.2528,0.7604,-0.0346
DE,9,1.2528,0.7604,-0.0346
DE,10,1.2528,0.7604,-0.0346
DE,11,1.2528,0.7604,-0.0346
DE,12,1.2528,0.7604,-0.0346
DE,13,1.2528,0.7604,-0.0346
DE,14,1.2528,0.7604,-0.0346
DE,15,1.2528,0.7604,-0.0346
DE,16,1.2528,0.7604,-0.0346
DE,17,1.2528,0.7604,-0.0346
DE,18,1.2528,0.7604,-0.0346
DE,19,1.2528,0.7604,-0.0346
DE,20,1.2528,0.7604,-0.0346
DE,21,1.2528,0.7604,-0.0346
FB,0,2.126,0.7151,-0.0182
FB,1,2.2367,0.7087,-0.0121
FB,2,2.2367,0.7087,-0.0121
FB,3,2.2367,0.7087,-0.0121
FB,4,2.2367,0.7087,-0.0121
FB,5,2.2367,0.7087,-0.0121
FB,6,2.2367,0.7087,-0.0121
FB,7,2.6825,0.5127,-0.0386
FB,8,2.6825,0.5127,-0.0386
FB,9,2.6825,0.5127,-0.0386
FB,10,2.2005,0.764,-0.0122
FB,11,2.0577,0.6964,-0.0188
FB,12,2.2367,0.7087,-0.0121
FB,13,2.2367,0.7087,-0.0121
FB,14,2.2367,0.7087,-0.0121
FB,15,2.2367,0.7087,-0.0121
FB,16,2.2367,0.7087,-0.0121
FB,17,2.2367,0.7087,-0.0121
FB,18,2.2367,0.7087,-0.0121
FB,19,2.2367,0.7087,-0.0121
FB,20,2.2367,0.7087,-0.0121
FB,21,2.2367,0.7087,-0.0121
FD,0,2.9394,0.4047,-0.0626
FD,1,2.9394,0.4047,-0.0626
FD,2,2.9394,0.4047,-0.0626
FD,3,2.9394,0.4047,-0.0626
FD,4,2.9394,0.4047,-0.0626
FD,5,2.9394,0.4047,-0.0626
FD,6,2.9394,0.4047,-0.0626
FD,7,2.9394,0.4047,-0.0626
FD,8,2.9394,0.4047,-0.0626
FD,9,2.9394,0.4047,-0.0626
FD,10,2.9394,0.4047,-0.0626
FD,11,2.9394,0.4047,-0.0626
FD,12,2.9394,0.4047,-0.0626
FD,13,2.9394,0.4047,-0.0626
FD,14,2.9394,0.4047,-0.0626
FD,15,2.9394,0.4047,-0.0626
FD,16,2.9394,0.4047,-0.0626
FD,17,2.9394,0.4047,-0.0626
FD,18,2.9394,0.4047,-0.0626
FD,19,2.9394,0.4047,-0.0626
FD,20,2.9394,0.4047,-0.0626
FD,21,2.9394,0.4047,-0.0626
LT,0,2.2612,0.5336,-0.0394
LT,1,2.2612,0.5336,-0.0394
LT,2,2.2612,0.5336,-0.0394
LT,3,2.2612,0.5336,-0.0394
LT,4,2.2612,0.5336,-0.0394
LT,5,2.2612,0.5336,-0.0394
LT,6,2.2612,0.5336,-0.0394
LT,7,2.2612,0.5336,-0.0394
LT,8,2.2612,0.5336,-0.0394
LT,9,2.2612,0.5336,-0.0394
LT,10,2.2612,0.5336,-0.0394
LT,11,2.2612,0.5336,-0.0394
LT,12,2.2612,0.5336,-0.0394
LT,13,2.2612,0.5336,-0.0394
LT,14,2.2612,0.5336,-0.0394
LT,15,2.2612,0.5336,-0.0394
LT,16,2.2612,0.5336,-0.0394
LT,17,2.2612,0.5336,-0.0394
LT,18,2.2612,0.5336,-0.0394
LT,19,2.2612,0.5336,-0.0394
LT,20,2.2612,0.5336,-0.0394
LT,21,2.2612,0.5336,-0.0394
PB,0,1.3249,0.8053,-0.0296
PB,1,1.8089,0.5775,-0.0457
PB,2,1.8089,0.5775,-0.0457
PB,3,1.8089,0.5775,-0.0457
PB,4,1.8089,0.5775,-0.0457
PB,5,1.8089,0.5775,-0.0457
PB,6,1.8089,0.5775,-0.0457
PB,7,1.1187,0.958,-0.0167
PB,8,1.1187,0.958,-0.0167
PB,9,1.1187,0.958,-0.0167
PB,10,1.1187,0.958,-0.0167
PB,11,1.1187,0.958,-0.0167
PB,12,1.8089,0.5775,-0.0457
PB,13,1.8089,0.5775,-0.0457
PB,14,1.8089,0.5775,-0.0457
PB,15,1.8089,0.5775,-0.0457
PB,16,1.8089,0.5775,-0.0457
PB,17,1.8089,0.5775,-0.0457
PB,18,1.8089,0.5775,-0.0457
PB,19,1.8089,0.5775,-0.0457
PB,20,1.8089,0.5775,-0.0457
PB,21,1.8089,0.5775,-0.0457
PJ,0,2.0408,0.5377,-0.0455
PJ,1,2.0408,0.5377,-0.0455
PJ,2,2.0408,0.5377,-0.0455
PJ,3,2.0408,0.5377,-0.0455
PJ,4,2.0408,0.5377,-0.0455
PJ,5,2.0408,0.5377,-0.0455
PJ,6,2.0408,0.5377,-0.0455
PJ,7,2.0408,0.5377,-0.0455
PJ,8,2.0408,0.5377,-0.0455
PJ,9,2.0408,0.5377,-0.0455
PJ,10,2.0408,0.5377,-0.0455
PJ,11,2.0408,0.5377,-0.0455
PJ,12,2.0408,0.5377,-0.0455
PJ,13,2.0408,0.5377,-0.0455
PJ,14,2.0408,0.5377,-0.0455
PJ,15,2.0408,0.5377,-0.0455
PJ,16,2.0408,0.5377,-0.0455
PJ,17,2.0408,0.5377,-0.0455
PJ,18,2.0408,0.5377,-0.0455
PJ,19,2.0408,0.5377,-0.0455
PJ,20,2.0408,0.5377,-0.0455
PJ,21,2.0408,0.5377,-0.0455
PL,0,2.1881,0.6161,-0.0264
PL,1,0.7709,1.1891,0.0033
PL,2,0.7709,1.1891,0.0033
PL,3,0.7709,1.1891,0.0033
PL,4,0.7709,1.1891,0.0033
PL,5,0.7709,1.1891,0.0033
PL,6,0.7709,1.1891,0.0033
PL,7,1.4346,0.8765,-0.015
PL,8,1.4346,0.8765,-0.015
PL,9,1.4346,0.8765,-0.015
PL,10,2.0221,0.6827,-0.0209
PL,11,2.0042,0.5926,-0.0327
PL,12,0.7709,1.1891,0.0033
PL,13,0.7709,1.1891,0.0033
PL,14,0.7709,1.1891,0.0033
PL,15,0.7709,1.1891,0.0033
PL,16,0.7709,1.1891,0.0033
PL,17,0.7709,1.1891,0.0033
PL,18,0.7709,1.1891,0.0033
PL,19,0.7709,1.1891,0.0033
PL,20,0.7709,1.1891,0.0033
PL,21,0.7709,1.1891,0.0033
SB,0,2.1948,0.6184,-0.0273
SB,1,2.1028,0.6291,-0.0283
SB,2,2.1028,0.6291,-0.0283
SB,3,2.1028,0.6291,-0.0283
SB,4,2.1028,0.6291,-0.0283
SB,5,2.1028,0.6291,-0.0283
SB,6,2.1028,0.6291,-0.0283
SB,7,2.2353,0.6769,-0.0183
SB,8,2.2353,0.6769,-0.0183
SB,9,2.2353,0.6769,-0.0183
SB,10,2.2353,0.6769,-0.0183
SB,11,2.0853,0.6005,-0.0324
SB,12,2.1028,0.6291,-0.0283
SB,13,2.1028,0.6291,-0.0283
SB,14,2.1028,0.6291,-0.0283
SB,15,2.1028,0.6291,-0.0283
SB,16,2.1028,0.6291,-0.0283
SB,17,2.1028,0.6291,-0.0283
SB,18,2.1028,0.6291,-0.0283
SB,19,2.1028,0.6291,-0.0283
SB,20,2.1028,0.6291,-0.0283
SB,21,2.1028,0.6291,-0.0283
SW,0,2.2494,0.6556,-0.0233
SW,1,2.3239,0.5529,-0.0333
SW,2,2.3239,0.5529,-0.0333
SW,3,2.3239,0.5529,-0.0333
SW,4,2.3239,0.5529,-0.0333
SW,5,2.3239,0.5529,-0.0333
SW,6,2.3239,0.5529,-0.0333
SW,7,2.0569,0.6639,-0.0395
SW,8,2.0569,0.6639,-0.0395
SW,9,2.0569,0.6639,-0.0395
SW,10,2.1868,0.6519,-0.03
SW,11,2.1828,0.6994,-0.0198
SW,12,2.3239,0.5529,-0.0333
SW,13,2.3239,0.5529,-0.0333
SW,14,2.3239,0.5529,-0.0333
SW,15,2.3239,0.5529,-0.0333
SW,16,2.3239,0.5529,-0.0333
SW,17,2.3239,0.5529,-0.0333
SW,18,2.3239,0.5529,-0.0333
SW,19,2.3239,0.5529,-0.0333
SW,20,2.3239,0.5529,-0.0333
SW,21,2.3239,0.5529,-0.0333
